Asiento,Fecha,Movimiento
CE-534,2025-11-27,-937500
CE-533,2025-11-25,-2077473
CE-532,2025-11-25,-1125285
RC-296,2025-11-21,3861000
CE-531,2025-11-20,-6000000
RC-297,2025-11-18,1170000
CE-211,2025-11-18,-758000
CE-25,2025-11-17,-4240000
CE-528,2025-11-17,-1198762
CE-514,2025-11-16,-1812100
CE-513,2025-11-15,-986000
CE-512,2025-11-15,-874088
RC-298,2025-11-14,6888375
CE-511,2025-11-10,-139000
CE-510,2025-11-10,-1792000
CE-509,2025-11-10,-1000000
CE-508,2025-11-10,-1162908
RC-299,2025-11-09,1547647
RC-300,2025-11-07,4143750
CE-507,2025-11-07,-20000000
CE-506,2025-11-07,-80000000
RC-279,2025-11-07,20000000
RC-281,2025-11-06,6630000
RC-280,2025-11-06,25000000
CE-505,2025-11-04,-986000
CE-504,2025-11-04,-874088
