FECHA,Concepto Contabilidad,VALOR
2025-05-31,RC-927,2
2025-05-31,CE-667,-3900
2025-05-31,CE-666,-233
2025-05-31,CE-665,-741
2025-05-31,CE-626,-53550
2025-05-31,RC-688,80000
2025-05-31,RC-677,150000
2025-05-30,RC-926,2
2025-05-30,CE-664,-3900
2025-05-30,CE-663,-3038
2025-05-30,CE-662,-741
2025-05-30,CE-627,-754810
2025-05-30,RC-910,750000
2025-05-30,RC-704,170000
2025-05-30,RC-697,850000
2025-05-30,RC-678,150000
2025-05-29,RC-925,1
2025-05-29,CE-661,-3280
2025-05-29,CE-628,-820000
2025-05-29,RC-692,360000
2025-05-29,RC-687,160000
2025-05-29,RC-679,360000
2025-05-28,CE-793,-746856
2025-05-28,CE-660,-40729
2025-05-28,CE-659,-7800
2025-05-28,CE-658,-1482
2025-05-28,RC-924,1
2025-05-28,CE-630,-53550
2025-05-28,CE-629,-55550
2025-05-28,RC-695,3170000
2025-05-28,RC-680,500000
2025-05-27,CE-657,-2700000
2025-05-27,CE-655,-10800
2025-05-27,RC-923,9
2025-05-27,RC-694,1020000
2025-05-27,RC-690,1480000
2025-05-27,RC-681,160000
2025-05-27,RC-674,1940000
2025-05-26,CE-656,-2700000
2025-05-26,RC-922,7
2025-05-26,CE-654,-14497
2025-05-26,CE-653,-924144
2025-05-26,RC-682,1360000
2025-05-25,RC-921,20
2025-05-24,CE-650,-20819
2025-05-24,CE-649,-741
2025-05-24,CE-648,-3900
2025-05-24,CE-624,-2700000
2025-05-24,CE-584,-2500000
2025-05-24,RC-676,1020000
2025-05-24,RC-664,75000
2025-05-24,RC-663,75000
2025-05-24,RC-662,80000
2025-05-23,RC-920,16
2025-05-23,CE-647,-3900
2025-05-23,CE-646,-3900
2025-05-23,CE-645,-741
2025-05-23,CE-644,-741
2025-05-23,CE-643,-38004
2025-05-23,RC-364,280000
2025-05-23,CE-623,-3000000
2025-05-23,CE-622,-2700000
2025-05-23,CE-620,-434395
2025-05-23,CE-619,-2222820
2025-05-23,RC-668,490000
2025-05-22,CE-642,-10800
2025-05-22,RC-919,28
2025-05-22,CE-621,-1134612
2025-05-22,CE-618,-2700000
2025-05-22,RC-705,12516807
2025-05-22,RC-669,937125
2025-05-22,RC-666,225000
2025-05-21,CE-641,-3900
2025-05-21,RC-918,13
2025-05-21,CE-640,-9348
2025-05-21,CE-639,-741
2025-05-21,CE-617,-924114
2025-05-21,CE-616,-1000000
2025-05-21,CE-615,-408170
2025-05-21,RC-701,820000
2025-05-21,RC-693,1360000
2025-05-21,RC-670,670000
2025-05-20,CE-638,-11901
2025-05-20,RC-917,12
2025-05-20,CE-614,-184310
2025-05-20,CE-613,-2700000
2025-05-20,CE-612,-91006
2025-05-20,RC-811,150000
2025-05-20,RC-675,2430000
2025-05-20,RC-667,160000
2025-05-20,RC-657,4632700
2025-05-20,RC-653,2020000
2025-05-19,RC-916,6
2025-05-19,RC-689,1210000
2025-05-19,RC-650,1190000
2025-05-18,CE-637,-7200
2025-05-18,RC-915,0
2025-05-18,CE-611,-1800000
2025-05-17,RC-914,3
2025-05-17,CE-636,-10800
2025-05-17,CE-610,-2700000
2025-05-16,CE-635,-11409
2025-05-16,CE-634,-3900
